date E type
2022-11-03 0.49304347826087 A/Surat_Thani/P3935/2022|6B.1A.5a.1
2025-02-13 0.49304347826087 A/Ayutthaya/593/2025|6B.1A.5a.2a
2025-01-16 0.49304347826087 A/Chiang_Rai/61/2025|6B.1A.5a.2a.1
2025-06-16 0.49304347826087 A/Surat_Thani/B97/2025|6B.1A.5a.2a.1
2025-06-16 0.49304347826087 A/Surat_Thani/B98/2025|6B.1A.5a.2a.1
2025-04-14 0.478260869565217 A/Bangkok/P738/2025|6B.1A.5a.2a.1
2025-03-23 0.485652173913043 A/Phuket/P702/2025|6B.1A.5a.2a.1
2025-04-01 0.485652173913043 A/Bangkok/P573/2025|6B.1A.5a.2a.1
2025-04-04 0.49304347826087 A/Tak/F1252/2025|6B.1A.5a.2a.1
2025-04-09 0.485652173913043 A/Bangkok/P562/2025|6B.1A.5a.2a.1
2025-04-01 0.485652173913043 A/Bangkok/P572/2025|6B.1A.5a.2a.1
2025-04-08 0.500434782608696 A/Bangkok/P541/2025|6B.1A.5a.2a
2025-06-04 0.49304347826087 A/Bangkok/P1226/2025|6B.1A.5a.2a
2025-06-09 0.485652173913043 A/Surat_Thani/P1379/2025|6B.1A.5a.2a.1
2025-06-12 0.49304347826087 A/Ranong/P1463/2025|6B.1A.5a.2a.1
2025-05-30 0.485652173913043 A/Chanthaburi/P1287/2025|6B.1A.5a.2a.1
2025-06-06 0.49304347826087 A/Ranong/P1364/2025|6B.1A.5a.2a.1
2023-10-08 0.500434782608696 A/Bangkok/368/2023|6B.1A.5a.2a
2025-06-13 0.485652173913043 A/Bangkok/P1525/2025|6B.1A.5a.2a.1
2025-03-24 0.500434782608696 A/Bangkok/P481/2025|6B.1A.5a.2a
2025-03-20 0.478260869565217 A/Surat_Thani/F1092/2025|6B.1A.5a.2a.1
2025-03-21 0.485652173913043 A/Surat_Thani/F1094/2025|6B.1A.5a.2a.1
2025-03-20 0.49304347826087 A/Phra_Nakhon_Si_Ayutthaya/F1080/2025|6B.1A.5a.2a.1
2025-03-18 0.49304347826087 A/Nakhon_Phanom/F1068/2025|6B.1A.5a.2a.1
2025-04-08 0.49304347826087 A/Bangkok/P540/2025|6B.1A.5a.2a
2025-03-28 0.500434782608696 A/Surat_Thani/F1191/2025|6B.1A.5a.2a
2025-04-01 0.49304347826087 A/Nakhon_Phanom/F1212/2025|6B.1A.5a.2a.1
2025-03-28 0.485652173913043 A/Bangkok/P501/2025|6B.1A.5a.2a
2025-03-26 0.49304347826087 A/Bangkok/P505/2025|6B.1A.5a.2a
2025-03-25 0.49304347826087 A/Surat_Thani/F1142/2025|6B.1A.5a.2a
2025-03-24 0.49304347826087 A/Chiang_Rai/F1106/2025|6B.1A.5a.2a.1
2025-03-25 0.485652173913043 A/Phra_Nakhon_Si_Ayutthaya/F1130/2025|6B.1A.5a.2a.1
2025-03-24 0.49304347826087 A/Chiang_Rai/F1103/2025|6B.1A.5a.2a.1
2025-03-24 0.49304347826087 A/Chiang_Rai/F1105/2025|6B.1A.5a.2a.1
2025-03-19 0.485652173913043 A/Bangkok/P500/2025|6B.1A.5a.2a.1
2025-03-26 0.485652173913043 A/Ranong/D141/2025|6B.1A.5a.2a.1
2025-03-18 0.49304347826087 A/Bangkok/P496/2025|6B.1A.5a.2a
2023-03-02 0.515217391304348 A/Thailand/CU-PEH230168/2023|6B.1A.5a.2a
2025-07-02 0.49304347826087 A/Ranong/P1814/2025|6B.1A.5a.2a.1
2025-07-04 0.49304347826087 A/Nakhon_Phanom/P1855/2025|6B.1A.5a.2a.1
2023-08-10 0.515217391304348 A/Bangkok/030/2023|6B.1A.5a.2a
2023-08-07 0.507826086956522 A/Bangkok/027/2023|6B.1A.5a.2a
2025-07-09 0.49304347826087 A/Ranong/P1920/2025|6B.1A.5a.2a.1
2023-08-11 0.515217391304348 A/Bangkok/031/2023|6B.1A.5a.2a
2025-07-04 0.49304347826087 A/Bangkok/P1896/2025|6B.1A.5a.2a.1
2025-07-14 0.49304347826087 A/Nakhon_Phanom/P1950/2025|6B.1A.5a.2a.1
2023-08-22 0.500434782608696 A/Bangkok/038/2023|6B.1A.5a.2a.1
2025-07-08 0.49304347826087 A/Bangkok/P1938/2025|6B.1A.5a.2a.1
2025-06-18 0.456086956521739 A/Tak/P1637/2025|6B.1A.5a.2a.1
2025-01-07 0.478260869565217 A/Bangkok/P28/2025|6B.1A.5a.2a
2025-06-19 0.49304347826087 A/Bangkok/P1652/2025|6B.1A.5a.2a
2025-06-18 0.49304347826087 A/Ranong/P1565/2025|6B.1A.5a.2a.1
2025-06-17 0.485652173913043 A/Bangkok/P1608/2025|6B.1A.5a.2a.1
